Candidate,Party
Rasmus Sandvej,C
Dorthe Schmittroth,C
Tom Andkjær,D
Karsten Byrgesen,D
Rune Bønnelykke,D
Bo Kleis Christensen,D
Jan Køpke Christensen,D
Kim Andkjær Doberck,D
Hans-Christian Gjerlevsen,D
Henrik Husted,D
Marianne Mathiesen,D
Thomas Vedsted,D
Pernille Vermund,D
Nanna Bonde,F
Christian Mutwa Christensen,F
Karina Lorentzen Dehnhardt,F
Milo Jacobsen Gaarde,F
David Dam Jensen,F
John Hyrup Jensen,F
Laurits Kaae,F
Wanda Madsen,F
Karin B. Nissen,F
Lars Olesen,F
Gunner Poulsen,F
Susanne Stenstrop Thorsen,F
Simon Dahl Verner,F
Carl Andersen,I
Carsten Andersen,I
Helena Artmann Andresen,I
Henrik Dahl,I
Kim Alexander Jensen,I
Kenneth Kirkeby,I
Dorthe Wildt Nielsen,I
Tobias Pagh,I
Mikkel Pedersen,I
Ester Esmarch,K
Poul Harald Holm,K
Frits Simmelsgaard Kristensen,K
Mirjam Fibiger Olesen,K
Søren Lydeking Pedersen,K
Henrik Engelbrekt Refshauge,K
Frida Bruun,M
Henrik Frandsen,M
Mette Kierkgaard,M
Kasper Søstrøm Müller,M
Josephine Alstrup,O
Lene Baggesø,O
Susanne Eilersen,O
Lasse Holmqvist,O
Peter Kofod,O
Jon Krongaard,O
Søren Rasmussen,O
Marianne Karlberg,Q
Viola Kirkegaard Kräge,Q
Niels Henning Bladt,V
Tilde Holch Duedahl,V
Preben Friis-Hauge,V
Eva Kjer Hansen,V
Tobias Jørgensen,V
Anni Matthiesen,V
Christoffer Aagaard Melson,V
Kasper B. Mundt,V
Jacob Chr. Nielsen,V
Chris Preuss,V
Klaus Sandfeld,V
Hans Christian Schmidt,V
Rikke Tangaa,V
Karina Adsbøl,Æ
Jenny Andresen,Æ
Patrick Culmsee Bryhl,Æ
Søren Espersen,Æ
Michael Mikkelsen,Æ
Kenneth Fredslund Petersen,Æ
Søren Egge Rasmussen,Ø
Rasmus Vestergaard Madsen,Ø
Sarah Nørris,Ø
Johanna-Maria Precht,Ø
Selma Bolø,Ø
Jan Filbært,Ø
Mathias Dahl Christiansen,Ø
Marianne Ishøi Mose,Ø
Helene Hellesøe Appel,Ø
Benny Dall,Ø
Sabrina Louise Christiansen,Ø
Benjamin Strand Andersen,Å
Nilas Bay-Foged,Å
Jørn Bjorholm,Å
Ditte Madvig Evald,Å
Astrid Reese Fogh,Å
Hans Biering Fonsbøl,Å
Rinnie Ilsøe,Å
Carsten Sohl,Å
Ane Line Søndergaard,Å
Mikael Winther,Å
Kent Nielsen,UDEN
